Date,precio_bogota,colcap
2020-07-15,42584.55078125,1144.85
2020-07-16,43100.7109375,1153.15
2020-07-17,43100.7109375,1156.16
2020-07-21,43229.76171875,1166.61
2020-07-22,43874.97265625,1168.52
2020-07-23,44262.11328125,1181.78
2020-07-24,43926.609375,1173.93
2020-07-27,43913.69140625,1180.73
2020-07-28,44092.65234375,1170.99
2020-07-29,43444.23828125,1174.91
2020-07-30,43120.03515625,1164.66
2020-07-31,40254.0078125,1134.34
2020-08-03,40980.23046875,1133.1
2020-08-04,40526.34765625,1128.41
2020-08-05,41019.1328125,1138.01
2020-08-06,41473.0234375,1142.18
2020-08-10,41719.41796875,1143.5
2020-08-11,41797.24609375,1134.41
2020-08-12,41732.40234375,1141.78
2020-08-13,42121.46484375,1149.97
2020-08-14,42147.39453125,1153.28
2020-08-18,42458.6328125,1168.46
2020-08-19,42705.03125,1161.72
2020-08-20,43379.3984375,1174.12
2020-08-21,43962.97265625,1186.29
2020-08-24,43962.97265625,1205.18
2020-08-25,44481.70703125,1230.56
2020-08-26,44922.1875,1227.31
2020-08-27,45547.7578125,1225.22
2020-08-28,45287.1015625,1226.21
2020-08-31,44961.296875,1216.03
2020-09-01,45287.1015625,1255.76
2020-09-02,46916.13671875,1258.16
2020-09-03,45313.1796875,1246.82
2020-09-04,45313.1796875,1240.24
2020-09-07,45313.1796875,1242.98
2020-09-08,44948.2734375,1232.34
2020-09-09,45612.91796875,1239.93
2020-09-10,44961.296875,1219.67
2020-09-11,44948.2734375,1212.45
2020-09-14,44531.25,1199.65
2020-09-15,43671.09375,1193.71
2020-09-16,43970.83984375,1195.95
2020-09-17,43983.88671875,1192.53
2020-09-18,44296.65625,1206.55
2020-09-21,44505.1796875,1197.55
2020-09-22,44622.45703125,1187.73
2020-09-23,45287.1015625,1179.38
2020-09-24,45547.7578125,1180.49
2020-09-25,44523.703125,1171.35
2020-09-28,43908.234375,1176.66
2020-09-29,44523.703125,1165.75
2020-09-30,45178.4609375,1171.92
2020-10-01,45178.4609375,1162.36
2020-10-02,44523.703125,1165.01
2020-10-05,47077.27734375,1168.04
2020-10-06,46618.9375,1168.93
2020-10-07,46632.03125,1174.49
2020-10-08,46632.03125,1186.42
2020-10-09,44851.08984375,1190.01
2020-10-13,43999.8984375,1170.72
2020-10-14,42624.89453125,1171.36
2020-10-15,44517.1640625,1166.01
2020-10-16,44517.1640625,1171.8
2020-10-19,44523.703125,1174.94
2020-10-20,47666.546875,1187.39
2020-10-21,47142.73828125,1177.92
2020-10-22,47142.73828125,1177.89
2020-10-23,47142.73828125,1175.33
2020-10-26,45545.12890625,1177.09
2020-10-27,45772.76953125,1162.58
2020-10-28,46713.640625,1120.37
2020-10-29,46384.66015625,1131.27
2020-10-30,44766.125,1136.75
2020-11-03,44759.5390625,1151.37
2020-11-04,44805.61328125,1156.41
2020-11-05,46055.69921875,1163.03
2020-11-06,46055.69921875,1172.34
2020-11-09,46187.26953125,1213.69
2020-11-10,45739.890625,1213.39
2020-11-11,46292.5546875,1220.06
2020-11-12,46101.74609375,1207.21
2020-11-13,45726.73046875,1209.87
2020-11-17,46884.6875,1230.73
2020-11-18,47371.56640625,1234.56
2020-11-19,46496.51953125,1230.81
2020-11-20,47042.59765625,1239.74
2020-11-23,47042.59765625,1247.94
2020-11-24,47371.56640625,1270.61
2020-11-25,47064.8671875,1263.65
2020-11-26,46932.65625,1263.04
2020-11-27,46602.15234375,1261.74
2020-11-30,46608.74609375,1258.0
2020-12-01,47659.7890625,1285.12
2020-12-02,47593.67578125,1288.49
2020-12-03,47791.9921875,1298.13
2020-12-04,47791.9921875,1341.23
2020-12-07,50231.15625,1363.74
2020-12-09,49788.27734375,1383.59
2020-12-10,49180.12109375,1368.49
2020-12-11,49603.17578125,1377.67
2020-12-14,49444.55078125,1389.31
2020-12-15,49854.36328125,1408.02
2020-12-16,50885.56640625,1421.47
2020-12-17,50237.76171875,1443.59
2020-12-18,49722.15234375,1426.47
2020-12-21,50237.76171875,1377.38
2020-12-22,50224.5546875,1400.91
2020-12-23,50555.05078125,1416.62
2020-12-24,49768.9609375,1422.21
2020-12-28,50459.44140625,1431.05
2020-12-29,50977.3125,1450.72
2020-12-30,50193.875,1437.89
2021-01-04,50977.3125,1418.01
2021-01-05,51388.96875,1431.73
2021-01-06,51388.96875,1436.03
2021-01-07,50492.640625,1435.74
2021-01-08,51123.40234375,1453.12
2021-01-12,51322.5625,1461.73
2021-01-13,51455.35546875,1456.03
2021-01-14,51455.35546875,1467.12
2021-01-15,52444.640625,1452.58
2021-01-18,51136.6953125,1454.5
2021-01-19,52079.45703125,1459.41
2021-01-20,54443.078125,1459.85
2021-01-21,53712.75390625,1446.23
2021-01-22,54111.1328125,1418.98
2021-01-25,54350.14453125,1397.65
2021-01-26,54574.140625,1402.25
